Sintering Temperature (°C),Heating Rate (°C/min),Holding Time (min),Cooling Rate (°C/min),Relative Density (%),Micro Hardness (Hv),Nano Hardness (GPa),Modulus of Elasticity (GPa),Stiffness (mN/nm),Plasticity Index,is_real
1000,90,25,120,100.0,525.0,9.8,348.0,2.59,0.021,1
900,90,10,110,99.0,524.0,9.87,339.0,2.65,0.039,1
800,100,25,90,99.7,563.0,10.15,359.0,2.47,0.021,1
800,100,15,90,99.6,528.0,9.19,356.0,2.49,0.031,1
950,90,10,80,100.0,552.0,10.0,359.0,2.53,0.032,1
1100,90,10,80,99.2,512.0,9.65,354.0,2.42,0.024,1
1000,110,25,80,100.0,502.0,9.78,349.0,2.5,0.016,1
1100,120,25,120,100.0,580.0,9.64,349.0,2.54,0.015,1
1100,120,15,90,99.7,547.0,10.24,355.0,2.6,0.021,1
1050,120,15,80,99.9,530.0,9.53,350.0,2.6,0.016,1
1000,100,10,90,99.7,575.0,9.43,344.0,2.45,0.026,1
1000,100,15,100,100.0,529.0,9.62,356.0,2.59,0.022,1
900,80,30,100,100.0,575.0,9.71,363.0,2.68,0.024,1
900,90,25,80,99.8,560.0,9.28,339.0,2.83,0.031,1
950,90,30,110,100.0,546.0,10.13,359.0,2.71,0.04,1
1100,90,25,120,100.0,565.0,9.38,352.0,2.52,0.035,1
1200,100,15,90,99.7,567.0,9.29,351.0,2.61,0.033,1
800,120,10,110,98.9,490.0,8.92,353.0,2.6,0.024,1
1050,110,25,90,100.0,536.0,10.08,351.0,2.85,0.015,1
900,90,20,100,99.9,518.0,9.41,357.0,2.74,0.022,1
1200,80,15,120,99.9,577.0,9.28,338.0,2.76,0.02,1
1150,100,20,100,100.0,564.0,9.82,367.0,2.77,0.038,1
800,90,15,100,99.4,515.0,9.02,336.0,2.67,0.038,1
800,120,30,110,100.0,529.0,9.37,358.0,2.82,0.015,1
800,80,15,90,99.0,542.0,9.36,356.0,2.71,0.018,1
1100,120,25,110,100.0,536.0,9.69,350.0,2.8,0.037,1
850,90,30,120,100.0,523.0,10.25,368.0,2.71,0.027,1
1000,90,20,100,99.6,510.0,9.93,367.0,2.82,0.024,1
1050,90,20,100,99.9,501.0,9.81,338.0,2.48,0.034,1
1000,100,10,110,98.7,494.0,10.07,335.0,2.46,0.038,1
950,80,30,120,100.0,573.0,10.31,373.0,2.56,0.039,1
1050,120,10,80,99.0,506.0,9.78,338.0,2.73,0.028,1
900,120,25,90,99.9,547.0,9.96,343.0,2.78,0.037,1
850,110,30,110,100.0,581.0,10.19,361.0,2.64,0.035,1
1200,110,10,110,99.2,515.0,10.26,346.0,2.52,0.021,1
900,80,30,110,100.0,542.0,9.38,369.0,2.73,0.019,1
950,120,10,80,98.5,586.0,9.57,349.0,2.62,0.019,1
1200,110,10,110,99.9,545.0,9.63,342.0,2.56,0.033,1
950,90,10,120,99.5,578.0,9.97,344.0,2.5,0.024,1
950,80,10,110,99.2,519.0,9.85,353.0,2.72,0.038,1
800,90,15,100,98.9,581.0,9.1,347.0,2.65,0.037,1
950,90,25,90,100.0,506.0,9.78,363.0,2.6,0.016,1
1200,120,20,110,100.0,517.0,10.2,340.0,2.51,0.016,1
800,90,10,120,99.4,501.0,9.06,339.0,2.44,0.02,1
1100,80,15,80,99.8,509.0,10.28,337.0,2.8,0.016,1
1100,80,10,120,99.2,525.0,9.05,340.0,2.48,0.033,1
800,100,20,90,99.2,561.0,9.01,368.0,2.54,0.038,1
